algorithm;filename;time_milliseconds;;;;;;;;;;;;;;
radix;.\numeros_randomicos_1250000.txt;186;;;;;;;;;;;;;;
radix;.\numeros_randomicos_1350000.txt;202;;;;;;;;;;;;;;
radix;.\numeros_randomicos_750000.txt;97;;;;;;;;;;;;;;
radix;.\numeros_randomicos_850000.txt;108;;;;;;;;;;;;;;
radix;.\numeros_randomicos_950000.txt;131;;;;;;;;;;;;;;
selection;.\numeros_invertidos_1250000.txt;648855;;;;;;;;;;;;;;
selection;.\numeros_invertidos_1350000.txt;764995;;;;;;;;;;;;;;
selection;.\numeros_invertidos_750000.txt;216295;;;;;;;;;;;;;;
selection;.\numeros_invertidos_850000.txt;281378;;;;;;;;;;;;;;
selection;.\numeros_invertidos_950000.txt;357546;;;;;;;;;;;;;;
selection;.\numeros_ordenados_1250000.txt;644400;;;;;;;;;;;;;;
selection;.\numeros_ordenados_1350000.txt;755976;;Bubble Sort (ms);750000;850000;950000;1250000;1350000;;Quick Sort (ms);750000;850000;950000;1250000;1350000
selection;.\numeros_ordenados_750000.txt;214557;;Invertidos;372700;483917;607129;1084873;1266255;;Invertidos;48;50;61;73;83
selection;.\numeros_ordenados_850000.txt;280539;;Ordenados;0;0;0;0;0;;Ordenados;40;50;61;71;72
selection;.\numeros_ordenados_950000.txt;357921;;Randômicos;772452;997231;1248899;2181504;2545733;;Randômicos;78;83;101;130;141
selection;.\numeros_randomicos_1250000.txt;642830;;;;;;;;;;;;;;
selection;.\numeros_randomicos_1350000.txt;755743;;Heap Sort (ms);750000;850000;950000;1250000;1350000;;Radix Sort (ms);750000;850000;950000;1250000;1350000
selection;.\numeros_randomicos_750000.txt;216323;;Invertidos;71;79;90;113;128;;Invertidos;99;111;130;184;203
selection;.\numeros_randomicos_850000.txt;282058;;Ordenados;69;71;83;111;121;;Ordenados;90;111;122;184;203
selection;.\numeros_randomicos_950000.txt;357819;;Randômicos;127;144;174;228;254;;Randômicos;97;108;131;186;202
shell;.\numeros_invertidos_1250000.txt;52;;;;;;;;;;;;;;
shell;.\numeros_invertidos_1350000.txt;64;;Insertion Sort (ms);750000;850000;950000;1250000;1350000;;Selection Sort (ms);750000;850000;950000;1250000;1350000
shell;.\numeros_invertidos_750000.txt;40;;Invertidos;218781;288180;362907;713476;785191;;Invertidos;216295;281378;357546;648855;764995
shell;.\numeros_invertidos_850000.txt;32;;Ordenados;0;8;0;0;0;;Ordenados;214557;280539;357921;644400;755976
shell;.\numeros_invertidos_950000.txt;50;;Randômicos;107056;139201;175981;317309;373832;;Randômicos;216323;282058;357819;642830;755743
shell;.\numeros_ordenados_1250000.txt;42;;;;;;;;;;;;;;
shell;.\numeros_ordenados_1350000.txt;50;;Merge Sort (ms);750000;850000;950000;1250000;1350000;;Shell Sort (ms);750000;850000;950000;1250000;1350000
shell;.\numeros_ordenados_750000.txt;22;;Invertidos;132;154;180;236;253;;Invertidos;40;32;50;52;64
shell;.\numeros_ordenados_850000.txt;30;;Ordenados;132;152;172;223;246;;Ordenados;22;30;30;42;50
shell;.\numeros_ordenados_950000.txt;30;;Randômicos;191;212;253;320;348;;Randômicos;130;152;172;228;255
shell;.\numeros_randomicos_1250000.txt;228;;;;;;;;;;;;;;
shell;.\numeros_randomicos_1350000.txt;255;;;;;;;;;;;;;;
shell;.\numeros_randomicos_750000.txt;130;;;;;;;;;;;;;;
shell;.\numeros_randomicos_850000.txt;152;;;;;;;;;;;;;;
shell;.\numeros_randomicos_950000.txt;172;;;;;;;;;;;;;;
